Subject,Block,Trial,Assistance,Training,ergodicity,error,successtime,tts,PAA,srate,mergodicity,merror,msuccesstime,mtts
3,6,4,1,1,0.752887,0.697073,2.433333,23.258333,0.167037,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,12,5,0,1,0.642433,0.601791,0,30.008333,0.13707,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,6,5,1,1,1.039752,0.766551,0.283333,29.708334,0.149834,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
4,7,1,0,1,0.722689,0.630617,0.216667,23.375,0.2697,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,1,1,1,1,0.597846,0.581979,0,30.008333,0.167592,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,7,2,0,1,0.510103,0.574927,0.55,21.725,0.289123,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,1,2,1,1,0.708881,0.684444,0.666667,24.625,0.18535,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,7,3,0,1,0.679491,0.615069,0,30.008333,0.249723,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,1,3,1,1,0.968175,0.752043,0,30.008333,0.150388,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,7,4,0,1,0.783237,0.6715,0,30.008333,0.158158,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,1,4,1,1,0.578193,0.672388,4,17.591667,0.165372,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,7,5,0,1,0.843429,0.657857,0,30.008333,0.158158,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,1,5,1,1,0.314011,0.5018,2.933333,5.725,0.188124,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,8,1,0,1,0.820779,0.671595,0,30.008333,0.180355,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,2,1,1,1,0.338889,0.512961,4.75,9.958333,0.216981,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,8,2,0,1,0.574127,0.589348,0.233333,6.575,0.200888,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,2,2,1,1,0.355272,0.51805,1.9,9.175,0.194229,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,8,3,0,1,0.562443,0.577316,1.333333,3.525,0.290788,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,2,3,1,1,0.392897,0.56943,2.916667,15.291667,0.206437,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,8,4,0,1,0.92092,0.693952,0,30.008333,0.147059,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,2,4,1,1,0.345481,0.512692,3.3,12.791667,0.289678,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,8,5,0,1,0.673269,0.620808,0.733333,21.191668,0.250832,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,2,5,1,1,0.648287,0.676893,0.9,24.174999,0.215871,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,9,1,0,1,0.918021,0.710249,0,30.008333,0.240289,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,3,1,1,1,0.444898,0.566174,2.866667,17.508333,0.215871,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,9,2,0,1,0.82853,0.667179,0,30.008333,0.246393,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,3,2,1,1,0.64434,0.690307,1.516667,17.291666,0.190344,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,9,3,0,1,0.854452,0.671776,0.216667,27.058332,0.233074,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,3,3,1,1,0.416956,0.568083,2.216667,17.308332,0.229745,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,9,4,0,1,0.785028,0.665948,0,30.008333,0.2303,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,3,4,1,1,0.288414,0.498331,4.083333,7.775,0.240289,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,9,5,0,1,0.745817,0.643125,0,30.008333,0.246948,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,3,5,1,1,0.407873,0.572405,2.783333,10.225,0.199223,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
4,10,1,0,1,0.682098,0.61465,0,30.008333,0.220311,0.3,0.7557124333,0.6448707,0.1411111,26.0705553333
4,4,1,1,1,0.626333,0.657735,2.816667,22.924999,0.164262,0.8666666667,0.5182045333,0.5989047333,2.0716666667,16.6449998667
